Year,Input,Gerd_storage,Gerd_release,Roseires_storage,Roseires_release,Sennar_storage,Sennar_release,Had_storage,Had_release
42,"[407.75141554763917, 5908.929431882418, 6775.643618422824, 66.3513157114246]",1862871450.724615,400.281629551306,28831086.86705329,655.6434648027551,2456222.3471447905,557.5544798816875,52316497031.69822,632.2913826816856
43,"[5120.93058299281, 2264.9577519793797, 6451.727904094499, 697.4657160199657]",2296969407.1805725,1997.8554228525693,1016341155.434683,2263.6515674839807,9548142.602896955,2167.384499581836,53777580039.6226,697.4657160199573
44,"[6909.377381024659, 3867.353463005374, 9367.299887367346, 550.083776583973]",1754690619.817978,1906.2436351485483,33678076.24840125,2771.78340506952,11968111.573641112,2719.091748576611,65671472467.99158,931.1082412025829
45,"[3410.6635105025853, 1134.7352124058907, 9246.936182785628, 3509.357413523924]",984252381.3516308,1215.0053105549466,791700888.611428,1134.7352124058955,4897166.838138494,1115.6320169313822,70823469122.1739,3509.3574135240165
46,"[2579.416277151556, 6599.84046034179, 8172.222002012159, 2220.8032463978493]",418569224.9643335,590.8742605660827,28854221.11055956,958.5109248640301,3825325.159143756,869.8054847356402,70171168474.19942,2220.8032463977743
47,"[5296.505783560065, 2418.522909004517, 931.0276780589921, 3588.863031813307]",207343733.4092306,270.56701429232305,27832175.150041573,298.5573797751841,1127357.364775012,257.22449481262225,64472666410.784035,3588.863031813342
48,"[9004.180571633304, 6331.014572732679, 3390.297910487007, 1396.8382984506436]",114477118.6547761,142.26564751206024,27461526.457878746,165.50743958002076,558176.6401860296,127.07076115198504,63255398038.69876,1396.838298450606
49,"[7259.5567887023935, 8971.102599525771, 8870.864242651172, 3119.5021834304953]",72539985.3256851,85.76228845949032,27276660.863147154,99.20647608317577,233449.69058572064,53.19092618737141,57701392166.66191,3119.5021834305985
50,"[6420.316461542878, 841.3996499504883, 1616.2871409461377, 3594.2167541083168]",53479486.774947636,59.18002207967181,27187622.298505254,67.25999023264765,194208.68913724384,44.152983218823195,49570637576.23604,3594.216754108379
51,"[6064.290596595899, 91.97051616629648, 1014.7154286603211, 2654.007076432223]",51460559.803584866,52.07509885029716,27206239.64983621,73.89032948830985,235845.16881475173,53.58511805372306,44122104407.4802,2654.0070764322413
52,"[50.61583846218687, 1608.0805141749865, 5487.337893665861, 2767.580790770773]",139423241.5360186,50.615838462188016,27191533.55029689,68.63367525036014,159800.2706561626,36.34662532442559,39141343903.08357,2767.5807907707454
53,"[6519.612595026006, 2242.6930946055977, 7121.792213475359, 948.9963499872002]",244335282.12903026,212.34834659228844,27932488.259952627,333.8330277476875,1129204.7002651237,256.2634962049038,38662931765.852844,948.9963499872129
54,"[3253.9969815926775, 7464.914051180242, 6496.328990472147, 3396.893641976712]",953982327.7315938,741.2111404755575,29668894.27069674,955.6403940598575,3776274.8847725317,857.2559364157916,32408874211.8539,2863.522983619813
55,"[6576.128923003434, 5683.086033354716, 936.7476782809248, 1470.8632122377342]",2102066233.7864964,1731.292499855148,33278018.485892706,2248.122696862312,190164715.5955813,2085.5690658306416,33033822618.946316,1470.8632122377605
56,"[2652.0236768172545, 2439.8964337908355, 9730.105547524456, 1572.3908986670417]",1728611125.8434968,1841.1520012021142,33697794.82557449,2399.717863429801,10331059.899403185,2417.340082481802,42662273859.36647,1572.39089866708
57,"[8920.465551771133, 6311.386259972629, 7948.113035416484, 2010.5483724207684]",982474711.1866128,1205.9490335541852,31113593.681713015,1474.902232346001,6393633.058674713,1454.56825568784,51935540988.60749,2010.5483724208136
58,"[5769.038846263591, 4925.176938188639, 1952.4298779804449, 2889.8084610460214]",418437474.48109996,590.2410628739781,28929421.53119957,692.1716344057646,2653772.290157226,604.5725135973552,51841609968.030594,2889.808461046051
59,"[2807.723624408558, 243.1596643145384, 6454.722959071678, 708.4427176281957]",207334781.49600402,270.5213067374062,196063088.78117192,243.15966431453174,883758.08247994,201.51464390935539,53316327691.53036,708.4427176281791
60,"[9404.585843529143, 9539.285770025874, 9148.643902204485, 1480.6348010217775]",114476511.27829999,142.26254319520422,27494198.40052946,240.00333389314147,885878.219276489,201.3351673580835,51920935678.54972,1480.6348010218023
61,"[154.56616528867428, 9283.185625877253, 4281.841483173143, 3866.6192761746784]",72539931.9135971,85.76206038870535,27295301.33290947,105.89132303359405,262851.8994573315,59.996510232056835,44751004542.98505,3813.700325675501
62,"[9636.199770892528, 8530.0945546736, 2944.488920695857, 1540.390914407701]",53479483.16032573,59.18000357182895,27181383.840914693,65.0339834412415,184418.35928465868,41.94253494453046,42205062494.17709,1540.3909144077068
63,"[8511.36671516857, 3169.2200515627765, 1694.9274668609248, 2227.2050498334006]",51460559.536605194,52.07509756433227,27158384.644055486,56.75950790425575,160501.3669804071,36.48680674486461,37933540510.67365,2227.20504983337
64,"[9361.54774160781, 6960.29796674973, 5700.61170089365, 388.7059750830741]",81313443.09003337,72.3768264275764,27270922.589203756,97.03197220784178,284709.1242270265,64.66026147957797,39322568949.34817,388.70597508306
65,"[6150.072266991698, 9900.538501042633, 1400.8401523652403, 2073.318609454947]",240007767.96292105,191.62299619541895,27847269.553768996,303.36190823647365,995165.1094317033,225.89983268868397,35949156155.48886,2073.318609454946
66,"[8773.730719279554, 7407.686177542045, 6970.15740995268, 2809.936335948437]",953685787.5190609,739.7059970905897,29603346.78335145,932.1467984410586,3672897.9614709094,833.7497309545994,30459694733.049843,2675.014185945853
67,"[3594.9115121975515, 2935.9184426449337, 8093.611554785136, 3240.453578716723]",2102029521.0694144,1731.1954936820532,33294437.330679484,2253.9751130013556,9505564.971233029,2158.177934408036,28354222956.23718,2395.2967174971345
68,"[8670.723185801036, 9132.405525564713, 5113.423988609378, 2006.0651787487984]",1728607436.4067597,1841.1392666866789,32812394.990852192,2082.819103370174,8936737.41511593,2031.296135100357,37411268927.152916,2006.0651787487534
69,"[7982.951789667752, 6499.639307777651, 7019.668772577033, 3183.170677744404]",982474459.7016101,1205.9477523728458,30817438.36276324,1368.5671375771294,5925842.626177311,1347.9063654166996,40027185180.01754,3122.4248995287558
70,"[8900.053418175663, 3379.951568515358, 3755.82952639944, 375.927759363476]",418437455.8425398,590.2409732963041,28931314.01069098,692.7347422308771,2656249.2388990754,604.9540721428931,45111568047.6277,375.92775936347107
71,"[5782.801409961739, 359.42273796742086, 4655.980181324601, 2170.5785388303066]",207334780.22958902,270.5213002712203,27850661.999425415,305.2032314977225,1156585.0465323355,263.4199126772256,42644392478.92143,2170.5785388302643
72,"[2865.412521282844, 5908.332605690108, 305.0024993904943, 149.39275499685766]",114476511.19237529,142.26254275604114,27467415.043257136,167.62207592222677,567477.9493442137,129.19213073509667,44545987385.744995,263.8969661493313
73,"[8226.005606596582, 3601.9064141126287, 1270.6051265188478, 2088.9730402192176]",72539931.90604088,85.76206035644023,27294067.522941753,105.4386770828383,260861.01007905236,59.41328840628087,41576512879.75437,2088.973040219198
74,"[7699.9355309861085, 2158.210274968432, 6228.904758190002, 341.389859975072]",53479483.159814335,59.180003569210704,27246580.17289279,88.36961127555591,287052.14041107957,65.22934826629805,42255116065.81271,341.3898599750674
75,"[516.8172116860769, 5313.54631568148, 5406.351216101065, 2549.719605992826]",51460559.53656744,52.07509756415033,27170648.878176432,61.17431328887062,179918.3120699083,40.93184052108589,37151465709.346375,2549.719605992848
76,"[7260.913337226615, 9758.520794625347, 5163.003483011953, 1291.825891764984]",81313443.09003061,72.37682642756315,27261774.623333335,93.76216833717409,270327.01344417996,61.40421465125995,36154984844.30122,1291.8258917650026
77,"[7951.861947687036, 2708.322512620742, 4389.714207056361, 313.8255253690638]",240007767.9629208,191.62299619541784,27819480.982101377,293.41220588846636,951398.0649841733,215.9641062701932,37351937669.929665,313.8255253690555
78,"[253.5074341545751, 9626.48414677925, 8359.801205122058, 2783.896824374792]",2230440579.9484897,263.06328173723807,28500138.13409934,537.2587863022238,1935298.9017653232,439.4732872467839,31495778398.785957,2725.5754336876457
79,"[4089.5294441426986, 1732.9432007084577, 1564.3704267108606, 1000.9715926583813]",2549644153.9752274,2040.742189452403,1302987148.6389227,2162.0274391316984,181186035.56872895,2002.096527892607,31853625769.842533,1000.9715926583547
80,"[5492.266647061205, 7145.959227000623, 6601.973767177313, 1119.7355877837713]",1816605203.076212,1979.7620832276502,34549272.50377737,3194.2601551233274,13826963.425001986,3207.0485108744138,44047581654.831215,1119.735587783774
81,"[9548.65280663194, 7378.969166957685, 5543.540525114006, 2446.8829849374088]",988472697.4185572,1236.5055596365326,31537728.78716531,1627.0331836823698,7062891.089840384,1607.727566599212,54021772301.66272,2446.882984937405
82,"[4196.000624277899, 2477.3098950115746, 3559.726786512616, 3031.3844418574763]",418882011.09458363,592.3775201414392,29011904.732165743,721.8579099519924,2784353.6452463036,634.4578677522612,53907364899.392494,3031.384441857416
83,"[143.93488629755868, 1160.7264050691624, 460.0264202175275, 162.91520927588056]",545090989.7968588,143.93488629755913,27567314.294812232,203.81312122866137,710660.9321762181,162.28770937094444,55330425907.039375,717.3657889072927
84,"[8554.605840110073, 7036.578593800236, 4741.738290873252, 391.33664260400593]",137392861.16129687,259.3885992702575,27790825.969494417,283.27657345035067,1076150.3993064994,244.4432574730728,55887876156.224785,757.7891325741698
85,"[4916.158751168324, 4734.717707805657, 1732.018699100152, 1735.4065969518922]",74555173.112722,94.3671844174954,27283739.78371254,101.87610521139365,245191.61883326076,56.0687156617761,53711747005.11687,1735.4065969518992
86,"[3985.0473439737343, 6158.500980522164, 6350.936508676438, 181.21603908817806]",53615863.05721631,59.878305558929114,27187452.65648248,67.20191218038043,193953.2526798678,44.09940690626726,53405603581.37935,673.0765271107981
87,"[3746.126146264712, 6258.599157142364, 5031.362585800877, 3425.9593647532893]",51470632.6939395,52.123617096607965,27153569.035567198,55.038231375716414,152930.9467859026,34.77285318757861,45927331558.52023,3425.9593647533497
88,"[6586.93631618945, 1629.3442708142968, 705.6874740042985, 2569.6771128252626]",81314127.96131979,72.38032173134158,27246236.547815222,88.1941612421646,245836.3412058632,55.83722094617626,41408633554.20494,2569.6771128252267
89,"[265.1131054162181, 5857.755812734633, 9402.302414249576, 2301.8967115035157]",240007818.966199,191.6232404605477,27657765.12628558,235.52436296573939,696717.5995221855,158.17097870591203,37416662330.97573,2301.8967115035184
90,"[3881.699262065219, 6432.882184423532, 4582.528904915166, 2182.46715726374]",953685791.0140299,739.7060148299308,29601038.758216083,931.2499209335941,3668951.505645054,832.7428490232146,32989747394.700428,2182.467157263773
91,"[9414.648087765252, 3861.0263780077426, 9611.905638239143, 3621.402567824255]",2102029521.5021012,1731.1954948253497,32870960.19161529,2102.3967122744302,8838599.507174673,2006.842424635285,30047948289.67554,2557.2153018143695
